name,slug,abbr,artist,cover,debut,last_played,times_played
Beauty of a Broken Heart,beauty-of-a-broken-heart,,Page Mcconnell,TRUE,2009-03-07,2023-10-08,15
Been Caught Stealing,been-caught-stealing,,Jane's Addiction,TRUE,1998-08-01,2011-06-18,6
Bell Boy,bell-boy,,The Who,TRUE,1995-10-31,1995-10-31,1
Beneath a Sea of Stars Part 1,beneath-a-sea-of-stars-part-1,,Ghosts of the Forest,TRUE,2019-06-29,2024-08-10,18
Bertha,bertha,,Grateful Dead,TRUE,1984-11-03,1985-03-16,3
Big Alligator,big-alligator,,Chief Jim Billie,TRUE,1999-12-30,1999-12-30,1
Big Ball Jam,big-ball-jam,BBJ,Phish,FALSE,1992-11-19,1994-12-09,102
Big Balls,big-balls,,AC/DC,TRUE,2011-07-03,2011-07-03,1
Big Black Furry Creature from Mars,big-black-furry-creature-from-mars,BBFCFM,Phish,FALSE,1987-08-21,2024-08-09,133
Big Leg Emma,big-leg-emma,,The Mothers of Invention,TRUE,1985-04-06,1988-08-04,7
Big Pimpin',big-pimpin,,Jay-Z,TRUE,2004-06-18,2004-06-18,1
Bike,bike,,Pink Floyd,TRUE,1987-11-19,2018-11-02,42
"Bill Bailey, Won't You Please Come Home?",bill-bailey-wont-you-please-come-home,,Hughie Cannon,TRUE,1993-07-28,2010-10-15,6
Billie Jean,billie-jean,,Michael Jackson,TRUE,2010-06-25,2010-06-25,1
Billy Breathes,billy-breathes,,Phish,FALSE,1995-09-27,2024-08-04,65
Birds of a Feather,birds-of-a-feather,BOAF,Phish,FALSE,1998-04-02,2024-08-07,135
Birthday,birthday,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Bitchin' Again,bitchin-again,,The Dude of Life (with Phish),TRUE,1991-08-03,1991-08-03,1
Bittersweet Motel,bittersweet-motel,,Phish,FALSE,1998-07-21,2021-08-28,19
Black and Tan Fantasy,black-and-tan-fantasy,,Duke Ellington,TRUE,1990-09-28,1990-09-28,1
Black-Eyed Katy,black-eyed-katy,BEK,Phish,FALSE,1997-11-13,1997-12-30,7
Blackberry Blossom,blackberry-blossom,,Traditional,TRUE,1994-11-19,1994-11-19,1
Blackbird,blackbird,,The Beatles,TRUE,1994-10-31,1994-11-22,2
Blaze On,blaze-on,,Phish,FALSE,2015-07-21,2024-08-29,84
Bliss,bliss,,Phish,FALSE,2018-12-30,2021-09-05,2
Blister in the Sun,blister-in-the-sun,,Violent Femmes,TRUE,1997-07-26,2012-07-07,3
Blue Bayou,blue-bayou,,Roy Orbison,TRUE,1992-07-16,1992-12-29,2
Blue Bossa,blue-bossa,,Joe Henderson,TRUE,1988-07-12,1988-07-23,2
Blue Monk,blue-monk,,Thelonius Monk,TRUE,1987-02-21,1989-08-12,2
Blue Moon,blue-moon,,Rodgers and Hart,TRUE,2009-12-31,2009-12-31,1
Blue Skies,blue-skies,,Pork Tornado,TRUE,2003-02-26,2003-02-26,1
Blue Sky,blue-sky,,The Allman Brothers Band,TRUE,1989-08-12,1989-08-12,1
Bobby Jean,bobby-jean,,Bruce Springsteen,TRUE,2009-06-14,2009-06-14,1
Bohemian Rhapsody,bohemian-rhapsody,,Queen,TRUE,1996-12-31,2022-12-31,2
Bold As Love,bold-as-love,,Jimi Hendrix Experience,TRUE,1988-07-07,2021-09-04,83
Boogie On Reggae Woman,boogie-on-reggae-woman,Boogie On,Stevie Wonder,TRUE,1987-02-21,2024-08-17,91
Born Under Punches (The Heat Goes On),born-under-punches-the-heat-goes-on,,Talking Heads,TRUE,1996-10-31,1996-10-31,1
Born to Run,born-to-run,,Bruce Springsteen,TRUE,1999-07-16,1999-07-16,1
Bouncing Around the Room,bouncing-around-the-room,Bouncin',Phish,FALSE,1990-01-20,2024-08-16,488
Brain Damage,brain-damage,,Pink Floyd,TRUE,1998-11-02,1998-11-02,1
Breath and Burning,breath-and-burning,,Phish,FALSE,2016-06-26,2022-07-24,17
Breathe,breathe,,Pink Floyd,TRUE,1995-10-25,1998-11-02,2
Brian and Robert,brian-and-robert,,Phish,FALSE,1998-06-30,2024-07-26,53
Bring It On Home,bring-it-on-home,,Sonny Boy Williamson,TRUE,1985-05-03,1985-05-03,1
Broken Heart Attack,broken-heart-attack,,Jerry Reed,TRUE,2022-08-14,2022-08-14,1
Broken Into Pieces,broken-into-pieces,,Trey Anastasio,TRUE,2023-08-01,2023-10-10,2
Brother,brother,,Phish,FALSE,1991-09-25,2021-10-15,60
Brown Eyed Girl,brown-eyed-girl,,Van Morrison,TRUE,1995-11-16,1995-11-16,1
Buffalo Bill,buffalo-bill,,Phish,FALSE,1992-11-21,2023-10-10,22
Bug,bug,,Amfibian,TRUE,1999-06-30,2024-08-31,95
Bundle of Joy,bundle-of-joy,,Phish,FALSE,1987-05-11,1989-11-03,10
Buried Alive,buried-alive,,Phish,FALSE,1990-09-13,2024-08-11,167
Burn That Bridge,burn-that-bridge,,Trey Anastasio,TRUE,2010-12-31,2010-12-31,1
Burning Down the House,burning-down-the-house,,Talking Heads,TRUE,1998-08-12,1998-08-12,1
Bye Bye Foot,bye-bye-foot,,Phish,FALSE,1997-06-14,2021-10-23,6
California Love,california-love,,Tupac Shakur (Featuring Dr.Dre),TRUE,1998-07-15,1998-07-15,1
Call It Stormy Monday (But Tuesday Is Just As Bad),call-it-stormy-monday-but-tuesday-is-just-as-bad,,T-Bone Walker,TRUE,1989-02-23,1989-02-23,1
Camel Walk,camel-walk,,Phish,FALSE,1984-11-03,2023-07-18,64
Can't Always Listen,cant-always-listen,,Phish,FALSE,2015-12-30,2019-08-30,2
Can't You Hear Me Knocking,cant-you-hear-me-knocking,,The Rolling Stones,TRUE,1984-11-03,1985-05-03,3
Cannonball,cannonball,,The Breeders,TRUE,1994-05-07,1994-05-07,1
Caravan,caravan,,Duke Ellington,TRUE,1990-01-20,1996-12-29,43
Carefree,carefree,,Sun Ra,TRUE,1994-04-26,1994-04-26,1
Carini,carini,,Phish,FALSE,1997-02-17,2024-08-31,143
Carolina,carolina,,Traditional,TRUE,1990-01-20,2019-12-06,83
Cars Trucks Buses,cars-trucks-buses,CTB,Phish,FALSE,1995-09-27,2024-07-30,87
Casino Boogie,casino-boogie,,The Rolling Stones,TRUE,2009-10-31,2009-10-31,1
Casual Enlightenment,casual-enlightenment,,Phish,FALSE,2021-08-08,2023-07-18,3
Catapult,catapult,,Phish,FALSE,1992-04-17,2021-09-05,35
Cathy's Clown,cathys-clown,,The Everly Brothers,TRUE,2019-07-02,2019-07-02,1
Cavern,cavern,,Phish,FALSE,1990-03-28,2024-08-09,476
Cecilia,cecilia,,Simon & Garfunkel,TRUE,1997-06-25,1997-06-25,1
Chalk Dust Torture,chalk-dust-torture,CDT,Phish,FALSE,1991-02-01,2024-08-30,510
Chalk Dust Torture Reprise,chalk-dust-torture-reprise,,Phish,FALSE,1994-12-10,2024-02-24,5
Champagne Supernova,champagne-supernova,,Oasis,TRUE,1996-12-29,1996-12-29,1
Character Zero,character-zero,,Phish,FALSE,1996-06-06,2024-09-01,251
Chariots of Fire,chariots-of-fire,,Vangelis,TRUE,2003-08-03,2003-08-03,1
Che Hun Ta Mo,che-hun-ta-mo,,Chief Jim Billie,TRUE,1999-12-30,1999-12-30,1
Chocolate Rain,chocolate-rain,,Tay Zonday,TRUE,2017-07-28,2017-07-28,1
Choo Choo Ch' Boogie,choo-choo-ch-boogie,,Louis Jordan,TRUE,1993-03-02,1993-03-02,1
Cinnamon Girl,cinnamon-girl,,Neil Young,TRUE,1989-03-01,2023-10-08,5
Cities,cities,,Talking Heads,TRUE,1984-12-01,2024-08-29,105
Clear Your Mind,clear-your-mind,,Phish,FALSE,2021-10-31,2023-07-22,4
Clod,clod,,Phish,FALSE,1986-10-15,1989-11-10,11
Clone,clone,,Leo Kotke/Mike Gordon,TRUE,2003-02-26,2003-02-26,1
Cocaine,cocaine,,J.J. Cale,TRUE,1993-08-06,1993-08-06,1
Coconut,coconut,,Harry Nilsson,TRUE,2017-07-21,2017-07-21,1
Cold Rain and Snow,cold-rain-and-snow,,Traditional,TRUE,1999-09-17,1999-09-17,1
Cold Water,cold-water,,Tom Waits,TRUE,2010-06-15,2010-06-15,1
Cold as Ice,cold-as-ice,,Foreigner,TRUE,1992-03-07,1992-05-18,47
Colonel Forbin's Ascent,colonel-forbins-ascent,Forbin's,Phish,FALSE,1988-03-12,2023-12-31,128
Come On (Part One),come-on-part-one,,Earl King,TRUE,1987-04-29,1987-04-29,1
Come Together,come-together,,The Beatles,TRUE,1995-12-08,2011-09-04,2
Come on Baby Let's Go Downtown,come-on-baby-lets-go-downtown,,Crazy Horse,TRUE,2000-09-23,2000-10-05,2
Communication Breakdown,communication-breakdown,,Led Zeppelin,TRUE,1990-01-25,1990-10-20,7
Contact,contact,,Phish,FALSE,1988-06-15,2024-07-26,173
Cool Amber and Mercury,cool-amber-and-mercury,,Phish,FALSE,2018-10-31,2023-10-10,8
Cool It Down,cool-it-down,,The Velvet Underground,TRUE,1998-10-31,2023-04-19,12
Cool Jerk,cool-jerk,,The Capitols,TRUE,2004-08-15,2004-08-15,1
Corinna,corinna,,Taj Mahal,TRUE,1987-02-21,2023-10-14,31
Corona,corona,,Trey Anastasio,TRUE,2017-07-15,2017-07-15,1
Costume Contest,costume-contest,,Phish,FALSE,1988-10-29,1994-10-31,3
Cracklin' Rosie,cracklin-rosie,,Neil Diamond,TRUE,1992-03-07,2023-07-29,51
Crazy Sometimes,crazy-sometimes,,Mike Gordon,TRUE,2017-07-18,2023-10-11,9
Crimes of the Mind,crimes-of-the-mind,,The Dude of Life (with Phish),TRUE,1991-08-03,2016-10-28,8
Crosseyed and Painless,crosseyed-and-painless,C&amp;P,Talking Heads,TRUE,1996-10-31,2024-08-31,64
Crossroads,crossroads,,Robert Johnson,TRUE,1993-05-08,1998-11-28,9
Crowd Control,crowd-control,,Phish,FALSE,2003-11-28,2022-08-02,22
Cry Baby Cry,cry-baby-cry,,The Beatles,TRUE,1994-10-31,2016-07-20,5
Cryin',cryin,,Aerosmith,TRUE,1995-09-29,1995-09-29,1
Cut My Hair,cut-my-hair,,The Who,TRUE,1995-10-31,1995-10-31,1
Dahlia,dahlia,,The Dude of Life (with Phish),TRUE,1990-09-13,1990-09-13,1
Daniel Saw the Stone,daniel-saw-the-stone,,Traditional,TRUE,1993-07-15,2017-08-01,23
Dave's Energy Guide,daves-energy-guide,DEG,Phish,FALSE,1985-04-06,1995-06-28,20
David Bowie,david-bowie,Bowie,Phish,FALSE,1986-10-31,2024-08-17,472
Day or Night,day-or-night,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Dazed and Confused,dazed-and-confused,,Led Zeppelin,TRUE,1989-05-21,1989-05-21,1
Dear Mrs. Reagan,dear-mrs-reagan,,Phish,FALSE,1985-11-14,1989-01-18,13
Dear Prudence,dear-prudence,,The Beatles,TRUE,1994-10-31,2016-06-29,3
Death Don't Hurt Very Long,death-dont-hurt-very-long,DDHVL,Phish,FALSE,2018-10-31,2024-08-07,13
Dec 1661,dec-1661,,Zenzile,TRUE,1986-02-03,1986-02-03,1
Dem Bones,dem-bones,,James Weldon Johnson,TRUE,2014-12-31,2017-08-04,3
Demand,demand,,Phish,FALSE,1994-04-09,2016-07-20,16
Destiny Unbound,destiny-unbound,Destiny,Phish,FALSE,1990-09-14,2024-08-04,55
Devotion To a Dream,devotion-to-a-dream,,Phish,FALSE,2013-10-31,2016-10-15,20
Diamond Girl,diamond-girl,,Seals and Crofts,TRUE,1992-12-31,1992-12-31,1
Digital Delay Loop Jam,digital-delay-loop-jam,,Phish,FALSE,1994-04-08,1997-08-17,10
Dinner and a Movie,dinner-and-a-movie,,Phish,FALSE,1987-11-19,2024-08-10,150
Dirt,dirt,,New York!,TRUE,1997-06-14,2024-07-28,75
Discern,discern,,Trey Anastasio,TRUE,2003-07-08,2003-08-02,4
Divided Sky,divided-sky,Divided,Phish,FALSE,1987-05-11,2024-08-16,437
Dixie Cannonball,dixie-cannonball,,Gene Autry,TRUE,2009-12-30,2009-12-30,1
Dixie Chicken,dixie-chicken,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Doctor Jimmy,doctor-jimmy,,The Who,TRUE,1995-10-31,1995-10-31,1
Dog Faced Boy,dog-faced-boy,,Phish,FALSE,1994-04-14,2021-10-30,54
Dog Log,dog-log,,Phish,FALSE,1985-10-30,2024-09-01,24
Dogs Stole Things,dogs-stole-things,,Phish,FALSE,1997-06-13,2022-07-31,41
Doin' My Time,doin-my-time,,Jimmie Skinner,TRUE,1996-08-07,1999-07-01,2
Don't Bogart That Joint,dont-bogart-that-joint,,Fraternity of Man,TRUE,2010-10-31,2016-12-31,2
Don't Doubt Me,dont-doubt-me,,Phish,FALSE,2021-10-31,2023-09-02,5
Don't Get Me Wrong,dont-get-me-wrong,,Phish,FALSE,1990-10-06,1990-12-28,3
Don't Pass Me By,dont-pass-me-by,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Don't Want You No More,dont-want-you-no-more,,Spencer Davis Group,TRUE,1984-12-01,1985-04-06,2
Don't You Want To Go?,dont-you-want-to-go,,The Meditation Singers,TRUE,1995-05-16,1995-09-28,5
Donna Lee,donna-lee,,Charlie Parker,TRUE,1988-10-29,1993-07-25,25
Dooley,dooley,,The Dillards,TRUE,1994-11-19,1994-11-20,2
Down By the River,down-by-the-river,,Neil Young,TRUE,1998-10-03,1998-10-03,1
Down with Disease,down-with-disease,DwD,Phish,FALSE,1993-12-31,2024-08-29,313
Dr. Gabel,dr-gabel,,Phish,FALSE,2010-06-22,2010-06-22,1
Drift While You're Sleeping,drift-while-youre-sleeping,,Ghosts of the Forest,TRUE,2019-06-11,2024-08-03,29
Drifting,drifting,,Trey Anastasio,TRUE,2003-02-26,2003-02-26,1
Drive-In Jam,drive-in-jam,,Phish,FALSE,2015-08-22,2015-08-22,1
Driver,driver,,Phish,FALSE,1998-10-17,2024-08-07,38
Drowned,drowned,,The Who,TRUE,1995-10-31,2023-10-15,48
Drums,drums,,Traditional,TRUE,1984-11-03,2009-08-02,11
Dust in the Wind,dust-in-the-wind,,Kansas,TRUE,2003-07-18,2003-07-18,1
Earache My Eye,earache-my-eye,,Cheech and Chong,TRUE,1994-05-17,1994-05-17,1
Easy To Slip,easy-to-slip,,Little Feat,TRUE,2013-08-30,2013-08-30,1
Eclipse,eclipse-pink-floyd,,Pink Floyd,TRUE,1998-11-02,1998-11-02,1
Egg in a Hole,egg-in-a-hole,,Phish,FALSE,2021-10-31,2023-10-11,4
El Paso,el-paso,,Marty Robbins,TRUE,2000-10-06,2000-10-06,1
Eliza,eliza,,Phish,FALSE,1990-09-15,1992-05-14,22
Emotional Rescue,emotional-rescue,,The Rolling Stones,TRUE,1997-11-21,2019-02-22,6
End of Session,end-of-session,,Phish,FALSE,2017-07-25,2021-10-20,2
Energy,energy,,The Apples in Stereo,TRUE,2013-07-05,2023-08-02,10
Esther,esther,,Phish,FALSE,1988-09-12,2024-07-27,135
Ether Edge,ether-edge,,Trey Anastasio,TRUE,2023-07-12,2024-08-29,9
Evening Song,evening-song,,Phish,FALSE,2019-12-28,2023-07-28,5
Everybody's Got Something to Hide Except Me and My Monkey,everybodys-got-something-to-hide-except-me-and-my-monkey,,The Beatles,TRUE,1994-10-31,2000-09-25,2
Everyday I Have the Blues,everyday-i-have-the-blues,,Memphis Slim,TRUE,2003-02-24,2003-02-24,1
Everything In Its Right Place,everything-in-its-right-place,,Radiohead,TRUE,2017-08-04,2017-08-04,1
Everything is Hollow,everything-is-hollow,,Phish,FALSE,2018-10-31,2023-10-15,4
Everything's Right,everythings-right,,Trey Anastasio,TRUE,2017-07-14,2024-08-30,59
Evolve,evolve,,Trey Anastasio,TRUE,2021-08-04,2024-08-30,19
Eyes of the World,eyes-of-the-world,,Grateful Dead,TRUE,1984-11-03,1985-05-03,3
Faht,faht,,Phish,FALSE,1992-11-22,1995-12-02,12
Family Picture,family-picture,,The Dude of Life (with Phish),TRUE,1990-09-30,1991-11-08,2
Farmhouse,farmhouse,,Phish,FALSE,1997-11-16,2024-07-24,87
Fast Enough for You,fast-enough-for-you,FEFY,Phish,FALSE,1992-11-19,2024-02-23,78
Fat Man in the Bathtub,fat-man-in-the-bathtub,,Little Feat,TRUE,2010-10-31,2022-02-27,3
Feats Don't Fail Me Now,feats-dont-fail-me-now,,Little Feat,TRUE,2010-10-31,2010-10-31,1
Fee,fee,,Phish,FALSE,1987-08-09,2024-08-30,286
Feel the Heat,feel-the-heat,,"""Dirk Diggler,"" ""Reed Rothchild""",TRUE,2003-12-31,2003-12-31,1
Fikus,fikus,,Phish,FALSE,1998-07-02,2024-08-11,6
Final Flight,final-flight,,Vida Blue,TRUE,2003-02-26,2003-02-26,1
Fire,fire,,Jimi Hendrix Experience,TRUE,1984-12-01,2023-07-25,138
Fire Up the Ganja,fire-up-the-ganja,,,TRUE,1985-03-04,1985-03-04,1
Fire on the Mountain,fire-on-the-mountain,FOTM,Grateful Dead,TRUE,1983-12-02,1984-12-01,2
First Tube,first-tube,,Trey Anastasio,TRUE,1999-09-09,2024-08-31,133
Five Years,five-years,,David Bowie,TRUE,2016-10-31,2021-10-28,2
Fixin' to Die,fixin-to-die,,Bukka White,TRUE,1994-11-17,1994-11-30,2
Flat Fee,flat-fee,,Phish,FALSE,1987-08-09,1991-07-27,21
Flatbed Truck Jam,flatbed-truck-jam,,Phish,FALSE,1996-08-16,1996-08-16,1
Fluff's Travels,fluffs-travels,,Phish,FALSE,1989-12-30,1989-12-30,1
Fluffhead,fluffhead,,Phish,FALSE,1984-12-01,2024-09-01,281
Fly Famous Mockingbird,fly-famous-mockingbird,Mockingbird,Phish,FALSE,1988-02-07,2023-12-31,128
Fly Like an Eagle,fly-like-an-eagle,,Steve Miller Band,TRUE,2012-12-31,2012-12-31,1
Foam,foam,,Phish,FALSE,1988-10-29,2024-07-27,353
Foggy Mountain Breakdown,foggy-mountain-breakdown,,Flatt and Scruggs,TRUE,1994-11-16,1994-11-16,1
Fooled Around and Fell in Love,fooled-around-and-fell-in-love,,Elvin Bishop,TRUE,2003-07-29,2003-07-29,1
Foreplay/Long Time,foreplaylong-time,,Boston,TRUE,1994-10-07,1999-07-12,17
Four,four,,Miles Davis,TRUE,1989-08-12,1989-08-12,1
Four Strong Winds,four-strong-winds,,Ian & Sylvia,TRUE,1998-10-18,1998-10-18,1
Frankenstein,frankenstein,,The Edgar Winter Group,TRUE,1989-11-11,2024-08-07,92
Frankie Says,frankie-says,,Phish,FALSE,1998-04-02,2023-07-30,32
Free,free,,Phish,FALSE,1995-05-16,2024-08-31,226
Free Bird,free-bird,,Lynyrd Skynyrd,TRUE,1987-03-06,2009-11-29,28
Free Man in Paris,free-man-in-paris,,Joni Mitchell,TRUE,2010-06-25,2010-06-25,1
Freeworld,freeworld,,,TRUE,1987-03-06,1987-03-06,1
Friday,friday,,Phish,FALSE,2003-01-04,2016-10-25,13
Friend,friend,,Ghosts of the Forest,TRUE,2019-06-22,2019-06-22,1
Friends,friends,,Phish,FALSE,2016-06-29,2016-07-10,2
Frost,frost,,Trey Anastasio,TRUE,2013-07-17,2019-12-08,6
Fuck Your Face,fuck-your-face,FYF,Phish,FALSE,1987-04-29,2023-07-11,19
Fuego,fuego,,Phish,FALSE,2013-10-31,2024-08-18,87
Funky (Breakdown),funky-breakdown,,Ninja Custodian,TRUE,1989-05-28,1989-05-28,1
Funky Bitch,funky-bitch,,Son Seals,TRUE,1986-12-06,2024-08-15,232
Garden Party,garden-party,,Ricky Nelson,TRUE,2012-12-31,2012-12-31,1
Gaul Swerves and the Rest is Everything Else,gaul-swerves-and-the-rest-is-everything-else,,Phish,FALSE,1989-10-26,1989-10-26,1
Get More Down,get-more-down,,Phish,FALSE,2021-10-31,2021-10-31,1
Gettin' Jiggy Wit' It,gettin-jiggy-wit-it,,Will Smith (a.k.a. The Fresh Prince),TRUE,1998-11-20,1998-11-20,1
Ghost,ghost,,Phish,FALSE,1997-06-13,2024-08-29,218
Ghosts of the Forest,ghosts-of-the-forest,,Ghosts of the Forest,TRUE,2019-12-04,2019-12-04,1
Ginseng Sullivan,ginseng-sullivan,Ginseng,Norman Blake,TRUE,1993-08-11,2024-08-07,80
Girls Girls Girls,girls-girls-girls,,Jay-Z,TRUE,2004-04-15,2004-04-15,1
Glass Onion,glass-onion,,The Beatles,TRUE,1994-10-31,1994-10-31,1
Glide,glide,,Phish,FALSE,1991-09-27,2021-08-31,116
Glide II,glide-ii,,Phish,FALSE,1995-05-16,2018-12-30,2
Gloria,gloria-branigan,,Laura Branigan,TRUE,2019-06-12,2019-06-12,1
Gloria,gloria,,Them,TRUE,1995-05-16,1995-05-16,1
Glory Days,glory-days,,Bruce Springsteen,TRUE,2009-06-14,2009-06-14,1
Goin' Down Slow,goin-down-slow,,"""St. Louis Jimmy"" Oden",TRUE,1990-09-13,1990-10-03,3
Gold Soundz,gold-soundz,,Pavement,TRUE,1999-07-21,1999-07-21,1
Golden Age,golden-age,,TV on the Radio,TRUE,2009-11-27,2024-08-18,78
Golden Lady,golden-lady,,Stevie Wonder,TRUE,1994-10-20,2003-02-16,2
Golgi Apparatus,golgi-apparatus,Golgi,Phish,FALSE,1986-10-12,2024-08-29,477
Gone,gone,,Trey Anastasio,TRUE,2009-12-30,2010-12-31,2
Good Times Bad Times,good-times-bad-times,GTBT,Led Zeppelin,TRUE,1986-12-06,2024-07-26,229
Got My Mojo Working,got-my-mojo-working,,Muddy Waters,TRUE,1997-02-25,1997-02-25,1
Gotta Jibboo,gotta-jibboo,Jibboo,Trey Anastasio,TRUE,1999-09-10,2024-08-17,101
Green Onions,green-onions,,Booker T. & the M.G.'s,TRUE,1989-03-01,1989-03-01,1
Grind,grind,,Phish,FALSE,1998-12-30,2024-07-31,30
